Project ID,Planned Cost ($ M),Projected/Actual Cost ($ M)
2,6.25,3.674
3,29.35,29.35
4,4.29,4.39
5,14.56,14.56
6,18.677,18.677
7,25.844,25.844
8,16.0,16.0
9,16.0,16.0
10,6.358,5.202000000000001
11,20.185,20.185
12,25.893,25.893
13,10.619000000000002,10.547
14,0.9620000000000001,0.9620000000000001
15,0.254,0.254
16,0.369,0.369
17,1.295,1.295
18,7.96,9.36
19,4.7,6.209
20,0.742,0.742
21,1.4,1.4
22,1.95,2.0
23,0.873,0.8690000000000001
24,0.65,1.3219999999999998
25,1.33,1.31
26,5.6,5.6
27,0.8,0.8
28,1.8,1.8
29,5.0,5.0
30,20.0,20.0
31,1.2,1.2
32,0.77,0.3
33,2.58,2.35
34,15.76,15.76
35,96.45,53.36
36,162.8,164.30599999999995
37,10.5,10.5
38,5.4,5.449
39,1.5619999999999998,1.5619999999999998
40,2.294,2.294
41,1.755,1.755
42,4.5,4.726
43,21.553,20.489
44,15.788,15.788
47,17.76,17.76
50,0.882,0.845
51,0.342,0.381
52,1.98,1.98
53,5.2,5.2
54,2.0,2.0
55,7.308,7.231
56,5.575,5.58
57,11.788,10.732000000000001
60,0.564,0.608
61,0.938,0.985
62,0.773,0.773
63,0.43799999999999994,0.45399999999999996
64,0.552,0.606
65,0.237,0.252
66,0.5720000000000001,0.628
69,0.574,0.33299999999999996
70,0.32299999999999995,0.355
71,1.631924,1.037095
72,4.743254,3.4855739999999997
73,0.09435199999999999,0.09435199999999999
74,0.639683,0.5405760000000001
75,0.164943,0.075908
76,0.9,0.9
77,7.05,7.05
79,0.40700000000000003,0.40700000000000003
80,0.21608000000000002,0.21608000000000002
81,0.14856,0.14856
82,0.20776,0.20776
83,0.30504000000000003,0.30504000000000003
84,0.30848000000000003,0.30848000000000003
85,0.28918,0.28918
86,0.11,0.11
87,0.0924,0.0924
88,0.0725,0.0725
89,0.13,0.13
90,0.12,0.12
91,9.0,9.0
92,0.1607,0.1387
93,1.1425,1.1424
94,1.141,0.5734600000000001
95,0.0764,0.076442
96,0.0964,0.090523
97,0.1368,0.136739
98,1.0153,1.0153
99,0.7807,0.7807
100,0.05,0.05
101,6.402,6.402
103,0.211988,0.10308699999999996
105,0.0971,0.09499500000000001
106,0.08507,0.056219000000000005
109,0.013936000000000002,0.013936000000000002
110,0.006999999999999999,0.00626
111,0.9279999999999999,1.084819
112,1.8180900000000002,2.1687
113,0.111375,0.096169
114,0.062318,0.186416
115,7.0438,6.9718
116,0.12,0.12
117,0.005,0.005
118,0.66,0.8305610000000001
119,1.19,2.367468
120,1.04,1.053584
121,1.04,0.689707
122,0.02,0.07
123,0.02,0.05
124,0.03,0.06
125,0.03,0.06
126,1.0,1.8851360000000001
127,0.735,0.735
128,0.7559999999999999,0.7559999999999999
129,0.588,0.42727600000000004
130,0.606,0.405
131,0.064572,0.064572
132,0.180626,0.180626
133,0.1411,0.1411
134,0.260251,0.260251
135,0.15,0.14800000000000002
137,0.27,0.271
138,3.773342,3.7792449999999995
139,7.0073380000000025,7.0073380000000025
140,8.15,6.727
141,2.035,2.035
142,3.53,3.53
143,0.159,0.07
144,0.25,0.25
145,0.25,0.08900000000000001
146,0.2,0.2
147,3.153,8.335
148,0.12,0.556
149,6.57,6.763999999999999
150,18.0,20.8
151,1.338,1.338
152,0.317,0.317
153,6.8820000000000014,6.443
154,30.16800000000001,30.16800000000001
155,7.843,7.843
156,1.4,1.4
159,0.581,0.581
160,1.504,1.2819999999999998
161,3.2569999999999997,1.1159999999999999
162,2.356,1.442
163,2.464,2.464
164,4.562,3.576
165,0.836,0.836
166,1.75,1.751
167,1.864,2.16
168,1.38,1.1740000000000002
169,12.68,11.738
170,5.0,5.0
171,6.303,6.303
172,3.327,3.325
173,10.0,10.0
174,4.5,4.5
175,1.8,1.8
176,13.193270000000002,13.193201
177,2.984,2.686489
178,0.6,0.6
179,11.364,11.775
180,3.05,3.05
181,0.01,0.0098
182,0.01,0.009793000000000001
183,0.01,0.009908
184,0.01,0.01
185,0.025,0.02584
186,0.015,0.016493
187,0.6509999999999999,0.62643
188,60.776,64.618
189,7.74,7.5
190,33.853,34.083
191,19.5,19.5
192,0.9,0.604
193,0.9,0.55
194,0.9,0.9
195,0.1,0.1
196,0.2,0.2
197,0.075,0.066
198,0.075,0.042
199,0.075,0.026000000000000002
200,20.893,15.699000000000002
201,3.43,2.256
202,2.5,2.312
203,3.35,3.319
204,6.3,6.3
226,3.695,3.272
227,11.556,11.321564
228,10.282,10.282
229,48.562,45.729
230,45.358999999999995,40.293
231,22.2934,22.2934
232,4.084,4.084
233,0.55,0.5479999999999999
234,0.2,0.2
235,3.9,3.9
236,0.9,0.9451729999999999
237,0.469,0.580496
238,4.35,4.35
239,1.42,1.42
240,0.02,0.02
241,0.76,1.16
242,1.45,1.49
243,0.75,0.75
244,0.75,0.75
245,1.2,1.2
246,2.0,2.0
247,0.23399999999999999,0.23399999999999999
248,2.206,2.206
250,2.62,5.385
251,4.0,4.0
252,2.0,2.0
253,13.379000000000001,13.379000000000001
254,1.35,1.35
268,44.12332,41.029145
269,0.35,0.32
270,0.237,0.23600000000000002
271,0.85,0.846
272,1.31,1.2670000000000001
282,0.35200000000000004,0.30573
283,0.35200000000000004,0.3005
284,0.35200000000000004,0.3847
285,0.35200000000000004,0.36456
286,0.35200000000000004,0.35200000000000004
287,0.122,0.122
288,0.991,0.9915
289,1.286,0.877
290,22.342,22.354
291,1.6,1.6
292,0.313,0.155
293,0.40399999999999997,0.40399999999999997
294,1.7930000000000001,1.7930000000000001
295,0.902,0.902
296,0.028999999999999998,0.028999999999999998
297,0.179,0.179
298,1.186,1.186
299,2.571,2.7539999999999996
300,1.459,1.714
301,2.1590000000000003,2.1590000000000003
302,29.199,29.199
303,0.631,0.631
304,3.36,3.2460000000000004
305,1.419,1.4180000000000001
306,26.859,26.859
307,1.0,1.0
308,1.93,1.93
309,1.2,1.2
310,0.15,0.15
311,0.760537,0.731822
312,21.058000000000003,19.49
313,2.5,2.0
314,1.5,1.5
315,0.25,0.25
316,0.684,0.6
317,0.26,0.26
318,0.475,0.475
319,0.065,0.039
320,0.5,0.3
321,14.718,14.718
322,0.75,0.75
323,1.5,1.5
324,2.5,2.5
325,1.0,1.0
326,2.0,2.0
327,0.7040000000000001,0.7040000000000001
328,0.25,0.25
329,0.5,0.5
330,0.732,0.732
331,0.4920000000000001,0.4920000000000001
332,1.218,1.218
333,8.326,6.642
334,8.646,8.828
335,11.161,11.194
336,9.975,9.105
337,4.925,3.213
338,0.063,0.063
339,0.419,0.419
340,7.2,7.2
341,2.3,2.3
342,2.4,2.4
343,2.5,2.5
344,10.222999999999999,10.113
345,2.4,2.4
346,22.846,20.809
347,28.143,29.269000000000002
348,60.047,46.525
349,17.442,17.442
350,61.931999999999995,61.931999999999995
351,0.777,0.777
352,31.408,31.408
353,58.176,58.176
354,46.45,46.45
355,116.11399999999999,116.11399999999999
357,1.111,1.0203520000000001
358,0.8455440000000001,0.828965
359,1.1697309999999999,1.157462
360,0.156647,0.15348599999999998
361,0.07961,0.07961
362,0.0375,0.0375
363,0.3,0.3
364,0.1125,0.1125
365,1.0333299999999999,1.0333299999999999
366,11.258,11.258
367,6.768,6.8370000000000015
368,3.5860000000000003,3.154
369,3.773,3.438
370,0.204,0.204
371,2.448,2.448
372,3.69,3.69
373,1.32,1.32
374,0.621,0.621
375,2.3080000000000003,2.3080000000000003
376,2.99,2.99
377,5.374,5.374
378,11.767999999999999,11.186
379,6.4879999999999995,6.682
380,3.22,2.98
381,1.8,0.9159999999999999
382,7.508999999999999,6.729
383,3.094,3.222
384,0.645,1.314
386,4.578,4.578
387,7.018,7.018
388,0.5710000000000001,0.5710000000000001
389,0.013000000000000001,0.013000000000000001
390,0.033,0.033
391,0.031,0.031
392,0.008,0.008
393,0.237,0.237
394,0.503,0.503
395,7.05,7.05
410,56.478,43.861999999999995
411,22.7,22.7
412,3.41,3.41
413,1.5,1.5
414,5.0,5.0
415,2.5,2.5
416,1.92395,0.8715
417,0.42,0.42
418,1.0270000000000001,1.128
419,3.353,3.261
420,0.242,0.13397799999999999
421,8.0,7.5
422,28.088265999999997,25.925296
423,2.2,2.1804799999999998
424,12.215,14.594000000000001
425,5.0,4.07
426,0.5,0.5
427,2.5,2.5069999999999997
428,3.0,3.108
429,22.376197,22.269866
430,0.105,0.105
431,1.353684,1.353684
432,2.37,2.37
433,0.096,0.095161
434,1.5390000000000001,1.5571620000000002
435,4.685,4.683
436,2.387,2.2695
437,1.274,1.315375
438,10.96,10.96
439,0.25,0.275
440,0.287,0.299
441,198.60103999999998,232.548
442,5.0,5.0
443,10.0,10.0
444,5.860488,5.973587
445,7.148947,7.621442
446,4.40426,4.40426
447,2.293971,2.293971
448,2.12438,2.12438
449,16.928,15.659
450,4.157,4.302
451,4.104,2.8789999999999996
452,0.74,0.74
453,0.7909999999999999,0.7909999999999999
454,0.873,0.875
455,0.34700000000000003,0.327
456,0.491,0.418
457,5.48,4.626
458,0.47600000000000003,0.46399999999999997
459,1.249,0.725
460,4.314,4.383
461,3.1356439999999997,3.137219
462,5.703087,6.2409
463,0.55,0.55
465,0.46941099999999997,0.50552
467,3.049,3.0810000000000004
468,2.092,2.092
469,3.8,3.8
470,4.7,4.7
471,1.5,1.5
472,1.5,1.5
473,1.0,1.0
475,0.6679999999999999,0.478
476,0.1,0.045
477,0.35,0.245
478,0.3,0.2
479,0.3,0.3
480,0.27,0.146
481,0.45,0.253
482,0.449,0.131
483,0.42,0.42
484,0.287,0.136
485,0.342,0.342
486,0.34700000000000003,0.34700000000000003
487,1.344,2.207
488,1.44,4.056
489,0.03,0.025
490,0.155,0.599
491,0.35,0.366
492,0.35,0.35
493,0.35,0.35
494,0.03,0.026000000000000002
495,0.155,0.106
496,161.9,161.9
497,21.61,21.61
498,2.14,2.14
499,3.2,3.2
500,0.28600000000000003,0.259
501,1.624,1.51
502,3.65,4.369
503,1.19,1.1640000000000001
504,5.336,5.336
505,6.072,5.391
506,10.14,10.300999999999998
507,3.805,3.805
508,2.75,2.75
509,7.305,7.231
510,33.347,33.741
511,1.22,1.22
512,0.706,0.706
513,45.01,38.429175
514,2.637,2.917
515,1.476,1.537
516,0.406,0.39899999999999997
517,1.8019999999999998,1.91
518,0.75,0.75
519,6.09,5.99
521,50.04,50.04
522,3.9739999999999998,3.9389999999999996
523,12.0,12.0
524,3.949547,316.253171
525,2.007189,1.984257
526,33.975,45.618582
527,1.9475220000000002,1.9749869999999998
528,3.33371,3.5242809999999998
529,9.818451,10.149778
530,1.925,1.7718770000000001
531,4.096,4.096
532,3.681,3.516
533,8.449,7.57
534,0.25,0.25
535,1.0893680000000001,0.816168
536,20.64635,21.642616
537,8.11,6.085493
538,41.736999999999995,35.3645
539,14.203,13.255
540,5.422745,5.422745
541,1.236,1.236
542,0.878,0.878
543,7.501,11.507
544,0.135,0.135
545,5.68,5.68
546,1.304,1.304
547,8.8,9.301938999999999
548,3.7910000000000004,3.8146949999999995
552,0.5575600000000001,0.55755
553,1.61,1.3655059999999999
554,6.04,5.6112480000000025
555,4.0,4.0
556,1.425,1.425
557,4.845,4.845
558,3.9219999999999997,3.9219999999999997
559,26.428,24.609
560,21.575,10.138
561,16.278,16.258
562,6.12,6.12
563,1.8840000000000001,1.867
564,1.8840000000000001,1.7497599999999998
565,1.8840000000000001,1.841
566,1.8840000000000001,1.8688
567,1.8840000000000001,1.824
568,1.881,1.84
569,14.9,13.442
571,21.076999999999998,20.90629
572,0.99825,0.99825
573,2.898189,2.887466
575,8.48,8.413
576,2.858,2.858
577,6.85,6.85
578,6.35,6.35
579,4.43,4.43
580,399.740293,399.549332
581,5.26133,5.26133
582,11.408,11.36
583,7.3,7.3
584,3.215,3.215
585,4.958,4.958
586,1.44,1.44
587,0.705,0.705
588,8.275,8.275
589,2.99492,2.92922
590,4.61155,4.61155
591,1.425,1.4
594,42.34809600000001,41.958562
595,4.0,4.0
596,5.34416,5.453821
598,0.15,0.15
599,0.233,0.233
600,0.11599999999999999,0.11599999999999999
601,0.146,0.1289
602,0.29,0.29
607,0.37258,0.37258
608,20.120384,25.407394
614,12.744734,15.004024
615,2.505128,2.550497
616,22.186346,18.575751999999998
617,7.131407,5.5423870000000015
618,3.0924840000000002,3.0053080000000003
619,2.827673,2.0994029999999997
620,15.799774,15.136555
621,2.5719,3.253733
622,6.959988,6.560988
623,1.15,1.15
624,12.592812,11.345238
625,4.4795,4.07
626,29.4055,27.112701
627,1.6,1.6
628,8.096188,10.362322
629,4.600947,8.285598
630,5.716931,2.9467470000000002
631,3.11816,2.609219
632,9.019765,6.969742
633,7.747247,7.7551710000000025
634,1.1,1.1
635,10.029354,9.677375
636,11.761813,11.173862
637,20.295929,18.719569
638,7.691524,7.0290479999999995
639,15.580001999999999,18.460485000000002
640,13.24969,13.244256
641,3.384274,3.040551
642,10.585474000000001,7.701822
643,27.76489,31.215734
644,0.125002,0.124982
645,0.16,0.16
646,4.127,4.127
647,2.8110000000000004,2.8110000000000004
648,3.259,4.439
649,3.259,3.259
650,4.888,4.888
651,3.307,3.307
652,5.035,5.035
654,,
656,15.297,15.297
657,0.179,0.179
658,1.46,1.46
659,25.468195,0.0
660,2.0,0.0
661,1.8205,1.4564
662,1.713,1.713
663,1.45,1.45
664,0.01,0.01
665,46.96,46.96
666,0.662,0.662
667,0.5720000000000001,0.5720000000000001
668,2.41,0.3856
669,10.058,10.058
670,4.268,4.268
671,2.23,2.23
672,0.03,0.03
673,0.7,0.7
674,1.0170000000000001,1.0170000000000001
675,0.25,0.25
676,3.958765,3.871752
677,5.117,9.23
678,5.921,5.921
679,2.759,2.759
681,3.423,3.423
682,46.32,46.32
683,8.0,6.0
684,3.875,3.875
685,0.5,0.5
686,0.495,0.495
688,2.064,2.573
689,3.7889999999999997,3.7889999999999997
690,0.68,0.609
691,0.9790000000000001,0.9420000000000001
692,7.3279999999999985,7.114
693,2.985,2.657
694,4.535,3.182
695,3.57573,3.5257300000000003
696,1.721284,1.641284
697,1.673141,2.207414
698,5.458519,5.2570190000000006
700,1.843647,1.728647
701,1.239666,1.478488
702,0.750953,0.746058
703,0.310057,0.278057
704,1.992704,1.788488
705,0.11583800000000001,0.11583800000000001
706,0.4922760000000001,0.4922760000000001
707,0.5573239999999999,0.5573239999999999
708,0.20502399999999998,0.098638
709,0.400654,0.331368
710,0.094825,0.094825
711,19.611,20.410702
717,0.242,0.242
719,152.79,153.59
720,17.827732,16.860007
721,2.48,2.6639999999999997
722,6.822,6.822
723,0.5,0.52522
724,2.074,2.0281
725,0.35,0.35
726,1.149,1.149
727,0.331,0.331
728,0.369,0.35699200000000003
729,0.28,0.28
730,1.9271040000000002,1.8423479999999999
731,4.119,4.119
733,2.7247630000000003,2.7247630000000003
734,0.25,0.25
735,1.5,1.5
736,0.5,0.5
737,13.0,13.0
738,26.7,26.6
739,89.8,95.179
740,2.6069999999999998,2.8489999999999998
741,0.20600000000000002,0.22399999999999998
742,1.253,1.0502
744,0.18,0.179
745,0.17,0.16939
746,0.415,0.415
747,0.1504,0.1504
748,,
749,,
750,,
751,1.3630000000000002,1.39824
752,0.015,0.015
753,0.244,0.262023
754,4.2,4.2
755,7.3,7.3
756,18.1,18.1
757,0.03,0.03
758,1.3,1.3
759,0.271,0.271
760,0.17,0.177
761,0.10099999999999999,0.501
762,0.124,0.5235
763,0.165,0.165
764,1.05,1.05
765,0.05,0.05
766,0.2,0.2
767,0.15,0.15
768,0.535,0.528
769,0.36,0.36
770,0.62,0.57
771,0.5,0.495
772,2.245,2.237
773,1.216,1.149
774,2.056,2.068
775,2.068,2.081
776,2.296,2.3080000000000003
777,0.65,0.65
778,2.552,2.478
779,0.8759999999999999,1.9369999999999998
780,0.39321,0.39321
781,0.439,0.515
782,0.92112,0.92112
783,,
784,,
785,,
786,30.6,25.5
787,1.45,1.468854
788,16.489,16.339000000000002
789,21.201,21.201
790,114.126,115.098
791,22.0,22.0
792,42.979,42.608000000000004
793,46.36025,45.05214
794,2.81942,2.77549
795,18.4,18.88
796,6.0,6.0
797,8.75,8.75
798,9.0,9.0
799,6.15,6.15
800,19.1,24.375
801,11.0,11.0
802,0.36,0.35791999999999996
803,0.2,0.1962
804,0.9279999999999999,0.9279999999999999
805,2.616,2.616
806,0.945,0.945
807,0.2,0.2
808,8.793105,7.21041
809,1.62045,1.14068
810,3.6079800000000004,1.7385599999999999
811,0.15955999999999998,0.40836
812,0.09246,0.12775999999999998
813,0.8699,1.78165
814,0.20088,0.35236
815,0.56553,0.18752
816,2.71298,2.4869
817,0.1962,0.18658
818,36.76052,37.15096
819,8.06585,9.09982
820,56.020869999999995,52.61418000000001
821,18.238,18.94868
822,1.40265,1.40265
823,0.1962,0.1962
824,49.90049000000001,49.54768
825,7.88095,6.83317
826,8.82243,8.85805
827,2.82344,2.2578400000000003
828,0.73526,0.6178
829,1.07094,1.0708799999999998
830,0.1962,0.1962
831,11.987903,11.799866
832,6.1579999999999995,6.1579999999999995
833,3.6262,3.6262
834,3.204929,3.165968
835,0.27221999999999996,0.27221999999999996
836,0.444572,0.444572
837,8.76,8.499
841,1.155,1.155
842,32.85,32.85
843,0.5,0.5
844,0.4,0.4
845,7.2,7.2
846,0.669,0.669
847,1.29675,1.22086
848,2.04412,2.04412
849,0.7338100000000001,0.7838
850,2.40462,2.40389
851,2.291,0.627391
852,2.05995,2.05994
853,1.035,0.982
854,3.4521699999999997,3.5804
855,4.45,4.45
856,1.225,1.225
857,18.214000000000002,18.212445000000002
858,0.115,0.115
859,0.65,0.65
860,4.331174,4.225442
861,1.015319,1.015319
862,4.21708,3.9912690000000004
863,1.815125,1.478481
864,0.27712600000000004,0.27712600000000004
865,0.098914,0.098914
866,7.9514190000000005,7.509133999999999
867,3.4898730000000002,2.798826
868,72.44112700000002,72.092036
869,27.942732,19.7913
870,17.707637,17.420569
871,5.939655,5.939655
872,21.649915,18.510676999999998
873,10.200066,10.142716
874,1.9097650000000002,1.7063009999999998
875,4.205439,4.045277
876,8.718683,7.8719899999999985
877,110.49495900000001,104.96837
878,241.68050899999997,232.12706699999998
879,4.50689,4.50689
880,3.8615199999999996,3.8615199999999996
881,0.84215,0.84215
882,1.09065,0.29686
883,4.98266,8.979289999999997
884,0.55328,3.2736
885,0.01729,0.20925
886,0.14,0.0
887,6.9643,6.9593
888,12.72751,12.72751
889,0.6440600000000001,0.48236999999999997
890,2.23265,2.23265
891,0.26655999999999996,0.27052
892,0.32841,0.36772
893,0.52294,0.52294
894,3.2399299999999998,3.2399299999999998
895,0.1008,0.07701000000000001
896,0.33276999999999995,0.33276999999999995
897,0.2402,0.20196
898,2.3607099999999996,2.3607099999999996
899,0.22943000000000002,0.22943000000000002
900,0.47628400000000004,0.49348800000000004
901,0.06568,0.06568
902,1.3705200000000002,1.039134
903,2.56927,2.56125
904,0.45073,0.45073
905,0.60143,0.5627800000000001
906,38.99609,40.33717
907,0.80047,0.80047
908,2.7370900000000002,2.7370900000000002
909,4.31893,4.31893
910,0.28600000000000003,0.28600000000000003
911,0.61879,0.61879
912,0.845,0.83665
915,1.45181,1.45181
916,3.27144,3.27144
920,0.22368000000000002,0.21353000000000005
921,3.88421,3.8810800000000003
922,0.185,0.185
926,1.7542,1.6116700000000002
927,0.175,0.60144
929,10.81775,9.94396
930,1.91382,2.2059599999999997
931,0.11574000000000001,0.0691
932,0.8942700000000001,0.8942700000000001
933,0.04717,0.04268
934,0.166,0.15052000000000001
936,11.71154,11.71154
938,0.2,0.2
940,2.73157,2.73157
941,8.49282,8.49282
942,0.5,0.5
943,0.4776,0.4776
946,3.8710000000000004,3.8592
947,1.0,1.0
949,5.21836,5.21836
952,0.8420700000000001,0.8420700000000001
961,2.55249,2.06984
962,4.336469999999999,4.336469999999999
963,0.28442,0.28442
964,2.3073799999999998,2.20605
965,2.80341,2.8034
966,0.8117800000000001,0.8117800000000001
967,0.28905,0.289046
968,1.04463,1.04463
971,0.94076,0.94076
972,1.25,1.25
973,5.6958,5.7382
974,7.013496000000001,7.013496000000001
975,2.455705,2.461247
976,1.2424870000000001,0.964457
977,7.4806589999999975,8.230725999999999
979,5.2489940000000015,5.865239
980,54.468196999999996,53.025268000000004
981,0.927026,1.201642
983,0.3684,0.3684
984,0.0774,0.000696
985,5.766296,5.7661370000000005
986,8.830269,8.829927
987,0.28600000000000003,0.2712
988,0.5479999999999999,0.4959
989,1.395,0.9329999999999999
990,0.534,0.4395
991,0.38799999999999996,0.3815
992,0.43799999999999994,0.4542
993,2.3409999999999997,2.2926
994,0.341,0.324527
995,1.074373,1.84506
996,4.9335,0.138
997,1.27481,0.396252
998,0.619117,0.1335
999,0.422308,0.16760999999999998
1000,1.210485,0.448338
1001,0.08633300000000001,0.07633
1002,5.6208519999999975,1.4698440000000002
