Project ID,Planned Cost ($ M),Projected/Actual Cost ($ M)
2142,11.600999999999999,11.557
2143,1.288,1.393
2144,22.24,19.534000000000002
2145,0.73,1.078
2146,0.45,0.45
2147,42.053000000000004,29.061
2148,17.726,23.178
2149,5.893,36.79
2150,5.192,5.314
2151,0.11599999999999999,0.11800000000000001
2152,1.359,1.345
2153,3.34,3.465
2154,2.248,4.133
2155,0.677,0.701
2156,1.294,1.29
2157,2.742,2.7689999999999997
2158,4.917,6.103
2159,1.258,1.0390000000000001
2160,0.688,0.615
2161,1.024,1.023
2162,6.8370000000000015,6.827000000000001
2163,4.376,5.005
2164,3.575,3.5010000000000003
2165,2.259,2.15
2167,4.856,4.856
2168,0.33399999999999996,0.326
2169,0.55,0.6759999999999999
2170,6.728,7.03
2171,1.6440000000000001,1.518
2172,2.8760000000000003,3.694
2173,0.7859999999999999,0.748
2174,0.508,0.552
2175,59.06,62.38
2176,11.939,11.939
2177,12.937000000000001,12.597000000000001
2178,7.9510000000000005,7.899
2179,1.554,1.837
2180,26.17,25.377
2181,8.73,9.08
2182,20.164,20.463
2183,6.54,5.285
2184,5.034,5.367000000000001
2185,5.034,4.5489999999999995
2186,5.034,5.311
2187,5.034,5.159
2188,6.558,6.4479999999999995
2190,1.8,1.402
2192,0.5,0.5
2193,6.581,6.581
2194,2.603,3.931
2195,4.0,4.0
2196,1.479,1.619
2197,7.71,7.545
2198,4.82,4.827
2199,2.218,2.218
2200,1.011,1.011
2201,1.4340000000000002,1.4340000000000002
2202,0.8540000000000001,0.8029999999999999
2203,1.473,1.473
2204,0.22,0.22
2205,20.108,20.051
2206,0.441,0.444
2207,0.042,0.040999999999999995
2208,0.11,0.10800000000000001
2209,0.258,0.259
2210,0.313,0.34
2211,0.332,0.304
2212,0.315,0.316
2213,0.3,0.301
2214,0.499,0.622
2217,0.177,0.177
2218,0.34299999999999997,0.342
2219,1.435,1.435
2220,8.417,8.347000000000001
2221,12.454,13.814
2222,1.744,1.821
2223,1.7930000000000001,1.806
2224,10.95,10.95
2225,6.475,6.475
2226,7.102164,7.4566490000000005
2227,34.952687,24.194589
2228,4.846998,4.846998
2229,1.9988560000000002,1.9988560000000002
2230,9.029833,9.029833
2231,9.94,6.5993460000000015
2232,10.764566,10.764566
2233,2.28005,2.563318
2234,3.91,2.374144
2235,2.95118,2.146989
2236,0.885,0.885
2237,0.07400000000000001,0.07400000000000001
2238,4.59,4.59
2239,1.6,1.6
2240,1.3395,1.3395
2241,0.7,0.7
2242,0.8320000000000001,0.8320000000000001
2243,0.359833,0.359833
2244,0.57982,1.837847
2245,2.602,2.565
2246,0.7,0.7
2247,0.8320000000000001,0.8320000000000001
2249,0.018000000000000002,0.018000000000000002
2250,2.099,2.64304
2251,7.997000000000001,7.997000000000001
2252,8.188884,8.188884
2253,4.958169,4.958169
2254,1.9022139999999998,1.911
2255,3.1289999999999996,2.894314
2256,0.641874,0.592746
2257,2.86147,1.456034
2258,0.14810299999999998,0.14810299999999998
2259,0.224559,0.292548
2260,0.748,0.748
2261,0.395455,0.395455
2262,1.105129,1.123318
2263,2.889,2.889
2264,1.306335,1.306335
2265,2.801735,2.801735
2266,0.355459,0.355459
2267,0.383968,0.383968
2268,0.617727,0.617727
2269,0.11520599999999999,0.11948900000000001
2270,4.466133,4.466133
2271,4.033832,4.033832
2272,2.829758,2.829758
2273,1.470464,1.470464
2274,1.175392,1.175392
2275,3.5211879999999995,3.5211879999999995
2276,0.686028,0.686028
2277,2.399168,2.399168
2278,4.148072,4.148072
2279,0.401758,0.42175799999999997
2280,9.187418,9.187418
2281,6.723725999999999,6.723725999999999
2282,4.996476,4.996476
2283,8.964967999999997,8.964967999999997
2284,4.4824839999999995,4.4824839999999995
2285,15.687444000000001,13.137819
2286,1.61,0.756378
2287,5.27,5.784626
2288,1.57313,5.26072
2289,2.6660000000000004,2.2348
2290,0.9,0.9
2291,1.5,1.7077200000000001
2292,0.1875,0.1875
2293,5.610721,5.610721
2294,2.41119,2.41119
2295,0.7472850000000001,0.7472850000000001
2296,1.0016,1.0016
2297,1.528437,1.528437
2298,6.111853,6.111853
2299,3.59,3.59
2300,11.072000000000001,11.072000000000001
2301,3.42035,3.530468
2302,0.817238,0.817238
2303,0.584675,0.584675
2304,0.15,0.15
2305,1.0,1.0
2306,0.4,0.4
2307,0.147,0.147
2308,0.147,0.147
2309,0.433,0.433
2310,0.433,0.433
2311,0.433,0.433
2312,0.433,0.433
2313,0.433,0.433
2314,0.433,0.433
2315,0.433,0.433
2316,3.3705,1141.5
2317,12.58,12.58
2318,5.348,5.348
2319,2.182,2.182
2320,2.640574,2.532324
2321,15.3,14.961095000000002
2323,2.55,2.55
2324,8.0,8.0
2325,3.9019999999999997,2.0393380000000003
2326,0.1,0.1
2327,0.9148299999999999,0.9148299999999999
2328,1.358783,1.358783
2329,20.860999,20.215944
2330,70.94800000000002,70.94800000000002
2331,0.427537,0.427537
2332,8.914019999999997,5.49115
2335,45.858336,45.858336
2336,82.62749000000002,82.62749000000002
2337,52.195877,52.195877
2338,4.0,0.925359
2339,13.028134,12.858792999999999
2340,1.744313,1.744313
2341,2.552,2.552
2342,0.249,0.249
2343,0.15,0.15
2344,1.003416,1.07326
2345,2.6,2.6
2346,1.8948099999999999,1.8948099999999999
2347,2.7,2.7
2348,0.431166,0.431166
2349,9.181281,7.260858
2350,5.3617040000000005,5.3617040000000005
2351,1.2,1.2
2352,1.52,1.52
2353,1.7022560000000002,1.7022560000000002
2354,1.688296,1.688296
2355,0.11800000000000001,0.11800000000000001
2356,2.2430000000000003,2.2430000000000003
2357,0.5025069999999999,0.5025069999999999
2358,2.332,2.2095700000000003
2359,26.043430999999998,26.387297999999998
2360,4.005,4.005
2361,6.281751,6.598981
2362,7.399836,7.399836
2363,9.203586,9.515596
2364,2.96,2.96
2366,0.55,0.546875
2367,2.576605,2.501089
2368,2.97375,2.97375
2369,0.177984,0.177984
2370,9.05,9.05
2371,1.7028029999999998,1.7028029999999998
2372,13.163177,13.130645000000001
2373,3.9330000000000003,3.9330000000000003
2374,21.932999,21.932999
2375,3.6489999999999996,3.6489999999999996
2376,3.108,3.108
2377,1.05,1.801909
2378,7.858,7.858
2379,0.6,0.6
2380,5.0,5.0
2381,0.23541700000000002,0.23541700000000002
2382,4.093279,4.093279
2383,2.671332,2.622249
2384,5.0458110000000005,5.0458110000000005
2385,2.871334,2.519
2386,4.085577,19.949901
2387,1.8,1.8
2388,3.2,3.2
2389,7.315,7.315
2390,43.20399999999999,38.8836
2391,6.5296,6.5296
2555,1.51025,1.51025
2556,32.638258,31.548972999999997
2557,0.025,0.025
2558,0.02,0.02
2559,0.036000000000000004,0.03
2560,1.0375,0.9505
2561,0.0375,0.0375
2567,2.0,2.0
2568,2.975,2.975
2569,23.906126999999998,23.906126999999998
2570,5.468,5.468
2571,9.764,9.764
2572,26.0,20.012
2573,38.4,0.0
2574,14.457,3.1
2575,279.0,269.8
2576,321.47,321.47
2577,65.1,65.1
2578,74.64,70.206
2579,57.496,57.496
2580,327.894,327.704
2581,1027.653,0.0
2582,503.471,0.0
2583,74.78399999999998,0.0
2584,45.755,45.755
2585,428.26800000000003,428.26800000000003
2586,5.716,5.716
2587,6.55,6.55
2588,3.8710000000000004,3.8710000000000004
2589,19.0,19.0
2590,113.975,113.97399999999999
2591,7.4,7.4
2592,6.255,6.255
2593,3.798,3.798
2594,10.987,10.987
2595,18.1,18.1
2596,2.653,2.653
2597,118.859,151.52
2598,24.879,24.879
2599,7.876,7.876
2600,24.385,24.385
2601,14.289000000000001,14.289000000000001
2602,70.296,70.296
2603,32.918,32.918
2604,13.732999999999999,10.565
2605,32.986999999999995,14.370999999999999
2606,39.71,39.71
2607,23.660999999999998,19.132
2608,2.7710000000000004,2.906
2609,8.925,7.3729999999999976
2610,13.460999999999999,12.234000000000002
2611,17.544,15.782
2612,19.52,25.375999999999998
2613,28.74,28.74
2614,0.619,0.619
2615,0.8490000000000001,0.8490000000000001
2616,5.961,5.961
2617,9.104,9.104
2618,6.183,6.183
2619,5.126,5.126
2620,5.322,5.322
2621,2.188,2.188
2622,15.812000000000001,15.812000000000001
2623,754.895,797.0
2624,485.476,485.476
2625,27.0,27.0
2626,33.1,33.1
2627,17.6,17.6
2628,3.404,0.0
2629,0.6,0.6
2630,32.3,32.3
2631,53.4,53.4
2632,16.528,16.528
2633,3.0469999999999997,3.0469999999999997
2634,2.302,2.302
2635,8.416,8.416
2636,9.187000000000001,9.187000000000001
2637,8.45,8.45
2638,7.4910000000000005,6.62
2639,4.5360000000000005,4.5360000000000005
2640,10.369000000000002,10.369000000000002
2641,6.739,6.739
2642,0.602,0.602
2643,7.68,7.68
2644,22.375999999999998,22.375999999999998
2645,2.1790000000000003,2.1790000000000003
2646,2.262,2.262
2647,5.734,5.734
2648,10.363,10.363
2649,34.848,34.848
2650,22.111,22.111
2651,176.842,176.842
2652,8.567,8.567
2653,5.9479999999999995,5.9479999999999995
2654,39.029,39.029
2655,1.2,1.2
2656,44.506,44.495
2657,41.24800000000001,41.24800000000001
2658,41.486999999999995,41.486999999999995
2659,1.35,1.35
2660,4.9,4.9
2661,4.0,0.0
2662,1.415,1.415
2663,2.595,2.595
2664,89.3,89.3
2665,2.5,2.65
2666,14.595999999999998,14.595999999999998
2667,0.546,0.546
2668,17.695,17.695
2669,15.6,15.6
2670,19.7,19.7
2671,480.26099999999997,480.26099999999997
2672,0.37,12.968
2673,3.8989999999999996,3.8989999999999996
2674,5.394,5.394
2675,16.570999999999998,16.570999999999998
2676,0.36,0.36
2677,3.2119999999999997,3.2119999999999997
2678,18.032,18.032
2679,24.563000000000002,24.563000000000002
2680,28.34,28.35
2681,7.086,7.086
2682,117.691,112.976
2683,196.602,196.602
2684,7.8,0.0
2685,65.87,43.085
2686,698.043,698.043
2687,0.9159999999999999,0.9159999999999999
2688,15.56,15.56
2689,21.932,21.932
2690,12.645,12.645
2691,2.945,2.945
2692,257.98,254.922
2693,11.540999999999999,11.540999999999999
2694,7.641,7.641
2695,5.937,5.937
2696,17.58,17.58
2697,2.8,2.8
2698,1274.29,1274.29
2699,1511.36,1511.36
2700,32.67,32.67
2701,51.42,51.42
2702,8.869,8.869
2703,180.1,180.1
2704,8.55,8.55
2705,4.5,4.5
2706,16.29,16.29
2707,12.42,12.42
2708,12.689,12.689
2709,0.37,0.37
2710,1.416,1.416
2711,16.525,16.525
2712,0.5,0.5
2713,1.101,1.101
2714,4.9639999999999995,4.9639999999999995
2715,6.23,6.23
2716,4.306,4.306
2717,1.6380000000000001,1.6380000000000001
2718,1.682,1.682
2719,682.685,453.17
2720,5.254,4.566
2721,7.977,8.051
2722,17.535999999999998,18.0
2723,32.739000000000004,29.176
2724,563.12,563.12
2725,81.949,80.77
2726,42.2,42.5
2727,1.2,1.2
2728,22.204,18.742
2729,0.35,0.35
2730,0.42200000000000004,0.42200000000000004
2732,0.5,0.5
2733,3.06,5.9860000000000015
2738,0.360978,0.360978
2742,5.102,4.98369
2743,19.66,19.66
2744,78.42,78.42
2745,2.443,2.443
2746,2.8613060000000003,3.060521
2747,16.86,17.058389000000002
2748,0.2,0.38799999999999996
2749,5.1770000000000005,5.2358660000000015
2750,1.653,1.659703
2751,0.79,0.79
2752,0.958,0.958
2753,0.575,0.0
2759,1.15,1.3840000000000001
2760,1.9271040000000002,1.894637
2761,0.9491959999999999,0.880864
2762,0.619,0.619
2763,0.27,0.260313
2764,0.84,0.791463
2765,3.095,2.145555
2766,1.899,1.924857
2767,0.429,0.402856
2768,8.75,8.75
2769,9.983151,9.846171
2770,2.2552529999999997,2.249534
2771,2.094166,2.028973
2772,3.2816940000000003,3.2816940000000003
2773,22.79465,22.894274
2774,5.6,5.6
2775,4.75,4.75
2777,28.05,27.54300000000001
2778,0.04,0.04
2779,3.990647,3.8427339999999997
2780,3.538811,3.184111
2781,0.304713,0.304713
2782,2.9010000000000002,2.76
2783,4.4239999999999995,4.328
2784,0.278,0.27699999999999997
2785,2.39921,2.683797
2786,1.0143,1.1059940000000001
2787,4.1196,3.6773510000000003
2788,3.05609,3.170562
2789,0.7413,0.6224810000000001
2790,0.001,0.012681
2791,0.8347,0.649473
2792,1.9763,1.545542
2793,2.37514,2.327292
2794,7.0716600000000005,7.0099800000000005
2795,0.9,0.720334
2796,0.1,0.0211
2797,0.1,0.0
2798,12.450999999999999,10.909
2799,3.888,3.888
2800,33.574,33.574
2801,73.96600000000002,73.96600000000002
2802,16.391,16.391
2803,30.0,30.0
2804,15.0,15.0
2805,1.0,1.0
2806,0.184,0.093317
2807,2.021162,2.021162
2808,0.289181,0.289181
2809,0.5147649999999999,0.5147649999999999
2810,0.80166,0.80166
2811,0.4240850000000001,0.4240850000000001
2812,0.19312100000000001,0.19312100000000001
2813,1.6875,1.6875
2814,1.8,1.8
2815,0.11973199999999999,0.11973199999999999
2816,0.433,0.433
2817,1.501,1.501
2818,3.074001,3.074001
2819,1.659,1.659
2820,1.044233,1.044233
2821,0.249,0.249
2822,0.59032,0.59032
2823,1.8109689999999998,1.810989
2824,3.88345,4.037686
2825,0.2,0.21
2827,0.3,0.3
2828,0.3,0.3
2829,0.14,0.14
2830,0.15,0.15
2831,0.3,0.3
2832,0.5,0.5
2833,0.5,0.5
2834,0.1,0.1
2840,0.09423200000000001,0.09423200000000001
2841,2.4404939999999997,3.4680739999999997
2842,0.114927,0.114927
2843,0.25054899999999997,0.25054899999999997
2844,2.2701,1.7843
2845,0.670669,0.547013
2846,1.834856,1.834856
2848,0.15,0.15
2849,15.567753,15.337128
2850,0.102,0.102
2851,0.105,0.105
2852,0.35100000000000003,0.35100000000000003
2853,0.3670000000000001,0.3670000000000001
2854,0.2,0.2
2855,0.1997,0.1997
2856,0.25,0.25
2857,0.1,0.3
2858,0.65,0.65
2859,0.1,0.1
2860,1.4,0.435
2862,0.22699999999999998,0.242
2863,0.5,0.5
2864,0.75,0.75
2865,0.22699999999999998,0.22899999999999998
2866,1.75,1.76
2867,0.5,0.5
2868,0.5,0.5
2869,1.6,1.6
2870,0.33,0.33
2871,10.338,10.338
2874,6.028282,6.028282
2875,3.812,3.812
2876,0.8,0.8
2877,0.15,0.166261
2878,0.2,0.2
2879,1.442,1.4451
2880,0.5015,0.4554
2881,6.8660000000000005,6.427668
2882,1.14,0.931425
2886,0.532,0.4808
2887,0.35,0.203
2888,0.49,0.3936
2889,0.35,0.135
2891,0.66677,0.5108600000000001
2892,2.32,2.32
2893,0.2487800000000001,0.2487800000000001
2894,2.06623,1.4946700000000002
2895,0.12637,0.12637
2896,0.7618699999999999,0.7618699999999999
2897,1.08423,1.08423
2898,0.94115,0.94115
2899,3.19377,3.19377
2900,0.93947,0.9820200000000001
2901,1.3902700000000001,1.3902700000000001
2902,1.65455,1.65405
2905,1.0,1.0
2906,0.72472,0.72472
2907,0.71414,0.73331
2908,0.5,0.5
2909,1.05749,1.05749
2910,2.84647,2.82769
2911,44.0,44.252549
2912,1.0,1.0
2913,7.775,7.944
2914,0.1795,0.1666
2915,0.126906,0.11638599999999999
2916,0.018643,0.034912
2917,0.063317,0.047158
2918,1.5019999999999998,1.5019999999999998
2919,0.546,0.546
2920,1.155,1.155
2921,2.9810000000000003,2.985068
2922,7.6,7.581
2923,0.05,0.03
2925,0.805,0.805
2926,1.75,1.75
2927,0.22117699999999998,0.22117699999999998
2928,0.21200500000000005,0.21200500000000005
2929,48.420743,48.380336
2930,17.633992000000006,17.633992000000006
2931,0.747266,0.747266
2932,5.901918,5.8853269999999975
2933,1.383,1.383
2934,0.377089,0.354522
2935,4.074831,3.354399
2936,29.5,29.5
2937,1.601,2.184
2938,3649.2499700000003,3804.99991
2939,1.5,1.5
2940,0.6829999999999999,0.406
2941,0.772,0.737
2942,7.16,7.16
2943,1.6680000000000001,1.6680000000000001
2944,0.016,0.022000000000000002
2945,0.02,0.021
2946,1.6680000000000001,1.015
2947,0.09,0.09
2948,0.09,0.09
2949,8.0375,8.0375
2950,6.45,6.45
2951,7.162064999999999,7.19752
2952,8.938827999999997,8.938827999999997
2953,3.0929990000000003,3.0929990000000003
2954,0.7525,0.7525
2955,2.0936,2.0936
2956,2.0341400000000003,3.719
2957,35.60287299999999,35.60287299999999
2958,6.63,6.63
2959,1.607,1.607
2960,1.02,1.02
2961,0.12300000000000001,0.12300000000000001
2962,3.696,3.696
2963,11.8153,11.815318
2964,1.9212209999999998,1.972113
2965,5.461,5.461
2966,98.339,98.339
2967,1.5219999999999998,1.5219999999999998
2968,1.7009999999999998,1.7009999999999998
2969,1.4909999999999999,1.4909999999999999
2970,1.122,1.122
2971,8.104,8.104
2972,2.978,2.978
2973,23.363000000000003,23.363000000000003
2974,6.2,6.394591
2975,13.0,9.429158000000001
2976,5.7,5.6090349999999995
2977,12.2,5.807506
2978,8.6,17.400745
2979,12.8,11.117361
2980,0.754,0.754
2981,0.18899999999999997,0.18899999999999997
2982,0.3,0.0
2983,0.465,0.311008
2984,0.465,0.311544
2985,0.31,0.155393
2986,2.69,2.69
2987,2.178954,2.138081
2988,0.7825310000000001,0.7825310000000001
2989,0.7052390000000001,0.7052390000000001
2990,0.43374399999999996,0.43374399999999996
2991,31.83,31.83
2992,5.8329999999999975,5.8329999999999975
2993,2.0580000000000003,2.0580000000000003
2994,4.636,4.636
2995,2.802,2.802
2996,8.827,8.827
2997,1.3359999999999999,1.3359999999999999
2998,9.097000000000001,9.097000000000001
2999,1.213,1.213
3000,5.001,5.001
3001,8.606,8.606
3002,7.178999999999999,7.178999999999999
3003,0.12289100000000001,0.11558199999999999
3004,0.519999,0.519999
3005,0.294937,0.294937
3006,0.111973,0.111973
3007,0.251938,0.251938
3008,0.349498,0.34517800000000004
3009,0.13518,0.13518
3010,0.135178,0.135178
3011,0.337949,0.337949
3012,0.12289100000000001,0.12289100000000001
3013,0.335911,0.335911
3031,303.0,303.0
3032,1.723225,1.723225
3033,1.6144479999999999,1.6144479999999999
3038,10.170897,8.885216
3042,9.053882000000002,9.053882000000002
3043,3.99,3.99
3045,1.89967,1.89967
3047,0.9492799999999999,0.9492799999999999
3051,5.0,5.0
3053,16.0,16.0
3055,0.518,0.518
3057,1.55809,2.425152
3059,2.179936,2.084438
3061,2.514063,2.31213
3063,0.617595,0.649725
3065,8.141993,8.214412
3067,0.291797,0.511784
3069,2.755,2.755
3071,0.435,0.435
3073,0.12,0.118128
3075,3.877357,4.745769999999999
3077,3.12,3.12
3079,0.01,0.01
3081,0.125,0.125
3083,0.473,2.476
3085,0.18,0.18
3087,0.07200000000000001,0.081
3089,0.16899999999999998,0.16899999999999998
3091,0.213,0.141
3093,0.07400000000000001,0.07400000000000001
3095,0.138,0.11699999999999999
3097,0.084,1.19
3099,0.11699999999999999,0.11699999999999999
3101,0.13,0.128
3103,0.33,0.38
3105,0.505,0.965
3107,4.654,4.6
3109,0.175,0.204
3113,3.1,3.1
3115,1.2,1.2
3117,64.6,64.6
3119,29.4,29.4
3121,5.0,5.0
3123,2.424,2.424
3125,1.2,1.2
3127,0.44630699999999995,0.44630699999999995
3129,11.5,11.08
3131,0.4764,0.4764
3133,12.0,8.625575999999999
3135,86.697339,86.697339
3137,98.81,98.81
3139,16.792,16.792
3141,33.249,33.249
3143,7.982,7.982
3145,5.5420000000000025,5.5420000000000025
3147,2.862,2.862
3149,0.8490000000000001,0.852
3151,0.18100000000000002,0.218
3153,3.002,2.8489999999999998
3155,14.855,14.855
3157,0.085,0.04833
3159,1.51959,1.51959
3161,0.8719,0.8719
3163,2.361209,2.995832
3165,2.563764,3.1291919999999998
3167,1.147145,1.147146
3169,1.731528,1.594614
3171,3.570413,2.558848
3173,22.830001,22.830001
3175,1.5090350000000001,1.5090350000000001
3177,0.4,0.4
3179,0.8005,0.8005
3181,2.03721,2.03721
3183,0.035,0.035
3185,0.45,0.45
3187,9.03992,9.265161
3189,2.3867380000000002,2.352199
3191,1.588847,1.3292469999999998
3193,0.861389,0.746798
3195,0.35,0.18152000000000001
3197,0.48,0.48
3199,0.375,0.375
3201,0.46,0.46
3203,0.475,0.475
3205,0.15,0.15
3207,0.7240000000000001,0.7240000000000001
3209,0.75,0.75
3211,1.34,1.34
3213,1.0,1.0
3215,0.5,0.5
3217,6.5,6.5
3219,0.52544,0.52544
3221,5.09,5.09
3223,2.4352259999999997,2.086182
3225,2.97631,2.97631
3227,,
3229,,
3231,5.171101,5.0333830000000015
3233,0.68,0.68
3235,0.36,0.36
3237,31.313438,31.313438
3239,16.636132,16.636132
3241,0.15431,0.15431
3243,1.4,1.4
3245,0.178478,0.178478
3247,1.43565,1.43565
3249,2.6702,2.6702
3251,0.978,0.978
3253,14.655,14.655
3255,9.707,9.707
3257,4.737,4.737
3259,8.314,8.314
3261,5.09,5.09
3263,0.33399999999999996,0.33399999999999996
3265,0.4920000000000001,0.4920000000000001
3267,0.638,0.638
3269,3.9525699999999997,3.835414
3271,5.4191660000000015,5.4191660000000015
3273,12.128604,12.128604
3275,2.188114,2.188114
